iter	Passed	Remaining
0	56	56909
1	57	28652
2	57	19253
3	58	14525
4	58	11678
5	59	9776
6	59	8423
7	59	7406
8	60	6616
9	60	5980
10	60	5463
11	61	5034
12	61	4669
13	61	4358
14	62	4092
15	62	3861
16	63	3654
17	63	3474
18	64	3308
19	64	3160
20	64	3023
21	65	2899
22	65	2788
23	66	2688
24	66	2594
25	66	2509
26	67	2429
27	67	2353
28	68	2283
29	68	2217
30	68	2156
31	69	2099
32	69	2046
33	70	1992
34	70	1945
35	70	1900
36	71	1857
37	71	1815
38	72	1777
39	72	1739
40	72	1704
41	73	1672
42	73	1644
43	74	1614
44	74	1583
45	75	1555
46	75	1529
47	75	1505
48	76	1481
49	76	1457
50	77	1434
51	77	1413
52	77	1391
53	78	1371
54	78	1353
55	79	1334
56	79	1315
57	79	1296
58	80	1278
59	80	1261
60	80	1243
61	81	1227
62	81	1211
63	81	1197
64	82	1184
65	82	1171
66	83	1156
67	83	1140
68	83	1125
69	83	1112
70	84	1101
71	84	1091
72	85	1081
73	85	1071
74	86	1060
75	86	1050
76	86	1041
77	87	1032
78	87	1023
79	88	1014
80	88	1006
81	89	998
82	89	989
83	89	980
84	90	970
85	90	961
86	90	950
87	90	941
88	91	935
89	91	928
90	92	921
91	92	914
92	93	908
93	93	901
94	93	895
95	94	888
96	94	882
97	95	877
98	95	871
99	96	865
100	96	859
101	96	852
102	97	847
103	97	841
104	98	835
105	98	830
106	98	825
107	99	819
108	99	813
109	99	808
110	100	803
111	100	798
112	101	793
113	101	789
114	102	785
115	102	780
116	102	776
117	103	771
118	103	767
119	104	763
120	104	759
121	104	755
122	105	749
123	105	743
124	105	740
125	106	736
126	106	733
127	106	728
128	107	724
129	107	721
130	108	717
131	108	714
132	109	711
133	109	707
134	109	703
135	110	700
136	110	697
137	111	693
138	111	691
139	111	687
140	112	684
141	112	681
142	113	678
143	113	675
144	114	672
145	114	669
146	114	666
147	115	662
148	115	659
149	115	656
150	116	653
151	116	651
152	117	648
153	117	645
154	117	642
155	118	640
156	118	637
157	119	634
158	119	631
159	119	628
160	120	626
161	120	623
162	121	621
163	121	619
164	121	617
165	122	614
166	122	612
167	123	609
168	123	607
169	123	605
170	124	602
171	124	600
172	125	597
173	125	595
174	125	593
175	126	590
176	126	588
177	126	586
178	127	584
179	127	581
180	127	578
181	128	576
182	128	574
183	129	572
184	129	569
185	129	568
186	130	566
187	130	564
188	131	562
189	131	560
190	131	559
191	132	556
192	132	554
193	133	553
194	133	552
195	134	550
196	134	549
197	135	547
198	135	545
199	135	542
200	136	543
201	137	542
202	137	539
203	137	537
204	138	535
205	142	548
206	142	547
207	143	545
