iter	Passed	Remaining
0	57	57690
1	58	28986
2	58	19457
3	58	14676
4	59	11801
5	59	9885
6	60	8524
7	60	7485
8	60	6678
9	61	6048
10	61	5518
11	61	5080
12	62	4721
13	62	4414
14	63	4143
15	63	3900
16	63	3686
17	64	3496
18	64	3321
19	64	3174
20	65	3039
21	65	2913
22	65	2798
23	66	2692
24	66	2599
25	67	2513
26	67	2428
27	67	2352
28	68	2282
29	68	2219
30	69	2159
31	69	2101
32	69	2045
33	70	1994
34	70	1948
35	70	1900
36	71	1858
37	71	1817
38	72	1778
39	72	1741
40	72	1705
41	73	1670
42	73	1638
43	73	1606
44	74	1574
45	74	1545
46	74	1520
47	75	1496
48	75	1472
49	76	1449
50	76	1425
51	76	1403
52	77	1381
53	77	1360
54	78	1340
55	78	1320
56	78	1302
57	79	1283
58	79	1267
59	79	1250
60	80	1234
61	80	1218
62	80	1202
63	81	1187
64	81	1173
65	81	1160
66	82	1148
67	82	1136
68	83	1123
69	83	1109
70	83	1097
71	84	1084
72	84	1071
73	84	1060
74	85	1050
75	85	1040
76	85	1030
77	86	1020
78	86	1010
79	87	1001
80	87	991
81	87	982
82	88	972
83	88	963
84	88	956
85	89	947
86	89	939
87	89	931
88	90	924
89	90	916
90	90	908
91	91	901
92	91	894
93	92	887
94	92	881
95	92	875
96	93	868
97	93	861
98	93	854
99	94	847
100	94	841
101	94	835
102	95	828
103	95	822
104	95	817
105	96	811
106	96	806
107	97	801
108	97	796
109	97	791
110	98	785
111	98	781
112	98	776
113	99	770
114	99	766
115	99	761
116	100	756
117	100	752
118	100	747
119	101	743
120	101	739
121	102	734
122	102	730
123	103	731
124	103	727
125	104	724
126	104	719
127	105	715
128	105	712
129	105	708
130	106	704
131	106	700
132	106	697
133	107	693
134	107	689
135	107	685
136	108	681
137	108	678
138	108	674
139	109	670
140	109	667
141	109	663
142	110	659
143	110	656
144	110	653
145	111	650
146	111	647
147	111	643
148	112	641
149	112	637
150	112	634
151	113	632
152	113	629
153	114	626
154	114	624
155	114	621
156	115	619
157	115	616
158	116	613
159	116	610
160	116	607
161	117	605
162	117	602
163	117	600
164	118	598
165	118	596
166	119	594
167	119	591
168	119	589
169	120	587
170	120	584
171	121	582
172	121	580
173	121	578
174	122	575
175	122	573
176	122	570
177	123	568
178	123	566
179	124	565
180	124	563
181	124	561
182	125	558
183	125	556
184	125	553
185	126	551
186	126	549
187	126	547
188	127	545
189	127	543
190	127	541
191	128	539
192	128	537
193	128	535
194	129	533
195	129	532
196	130	530
197	130	527
198	130	526
199	131	524
200	131	522
201	131	521
202	132	519
203	132	517
204	133	516
205	133	514
206	133	512
207	134	510
208	134	509
209	134	507
210	135	505
211	135	503
212	135	501
213	136	499
214	136	498
215	136	496
216	137	495
217	137	493
218	138	492
219	138	490
220	138	488
221	139	487
222	139	486
223	139	484
224	140	482
225	140	480
226	140	479
227	141	477
228	141	476
229	141	474
230	142	473
231	142	472
232	142	470
233	143	468
234	143	467
235	143	465
236	144	464
237	144	463
238	144	461
239	145	459
240	145	458
241	145	456
242	146	455
243	146	454
244	147	453
245	147	451
246	147	450
247	148	449
248	149	450
249	149	449
250	150	447
251	150	446
252	150	444
253	151	443
254	151	442
255	151	441
256	152	439
257	152	438
258	152	437
259	153	436
260	153	435
261	154	434
262	154	433
263	154	432
264	155	430
265	155	429
266	155	428
267	156	426
268	156	425
269	157	424
270	157	423
271	157	422
272	158	420
273	158	419
274	158	418
275	159	417
276	159	416
277	159	415
278	160	413
279	160	412
280	160	411
281	161	410
282	161	409
283	162	408
284	162	407
285	162	406
286	163	405
287	163	404
288	163	403
289	164	401
290	164	401
291	164	399
292	165	398
293	165	397
294	165	396
295	166	395
296	166	394
297	167	393
298	167	392
299	167	391
300	168	390
301	168	389
302	169	389
303	169	388
304	169	386
305	170	385
306	170	384
307	170	383
308	171	382
309	171	381
310	171	380
311	172	379
312	172	378
313	172	377
314	173	376
315	173	376
316	174	374
317	174	374
318	174	373
319	175	371
320	175	370
321	175	370
322	176	369
323	176	368
324	176	367
325	177	366
326	177	365
327	177	364
328	178	363
329	178	362
330	178	361
331	179	360
332	179	359
333	180	359
334	180	358
335	180	357
336	181	356
337	181	355
338	181	354
339	182	353
340	182	352
341	182	351
342	183	350
343	183	349
344	183	348
345	184	347
346	184	347
347	184	346
348	185	345
349	185	344
350	185	343
351	186	342
352	186	341
353	186	340
354	187	339
355	187	338
356	187	338
357	188	337
358	188	336
359	188	335
360	189	334
361	189	333
362	189	332
363	189	331
364	190	330
365	190	330
366	190	329
367	191	328
368	191	327
369	192	327
370	192	326
371	192	325
372	193	324
373	193	323
374	193	322
375	194	322
376	194	321
377	194	320
378	195	319
379	195	318
380	195	318
381	196	317
382	196	316
383	196	315
384	197	315
385	197	314
386	198	313
387	198	313
388	198	312
389	199	311
390	199	310
391	199	309
392	200	309
393	200	308
394	200	307
395	201	306
396	201	306
397	201	305
398	202	304
399	202	303
400	202	303
401	203	302
402	203	301
403	203	300
404	204	300
405	204	299
406	204	298
407	205	297
408	205	297
409	205	296
410	206	295
411	206	294
412	206	294
413	207	293
414	207	292
415	207	291
416	208	291
417	208	290
418	209	290
419	209	289
420	210	288
421	210	288
422	210	287
423	211	286
424	211	285
425	211	285
426	212	284
427	212	283
428	212	283
429	212	282
430	213	281
431	213	280
432	213	280
433	214	279
434	214	278
435	214	277
436	215	277
437	215	276
438	215	275
439	216	275
440	216	274
441	216	273
442	217	273
443	217	272
444	217	271
445	218	271
446	218	270
447	219	269
448	219	269
449	219	268
450	220	267
451	220	267
452	221	267
453	221	266
454	221	265
455	222	265
456	222	264
457	222	263
458	223	263
459	223	262
460	224	262
461	224	261
462	225	261
463	225	260
464	225	259
465	226	259
466	226	258
467	226	257
468	227	257
469	227	256
470	227	255
471	228	255
472	228	254
473	228	254
474	229	253
475	229	252
476	229	252
477	230	251
478	230	250
479	230	250
480	231	249
481	231	248
482	232	248
483	232	247
484	232	247
485	233	246
486	233	245
487	233	245
488	234	244
489	234	244
490	234	243
491	235	243
492	235	242
493	235	241
494	236	241
495	236	240
496	237	239
497	237	239
498	237	238
499	238	238
500	238	237
501	238	236
502	239	236
503	239	235
504	239	234
505	240	234
506	240	233
507	240	233
508	241	232
509	241	232
510	241	231
511	242	230
512	242	230
513	242	229
514	243	229
515	243	228
516	243	227
517	244	227
518	244	226
519	244	225
520	245	225
521	245	224
522	245	224
523	246	223
524	246	222
525	246	222
526	247	221
527	247	221
528	248	220
529	248	220
530	248	219
531	249	219
532	249	218
533	249	218
534	250	217
535	250	216
536	251	216
537	251	215
538	251	215
539	252	214
540	252	214
541	252	213
542	253	213
543	253	212
